Channel ID,Channel URL,Channel title
UC-v7bNB3EITxb9VDSbn_6tg,http://www.youtube.com/channel/UC-v7bNB3EITxb9VDSbn_6tg,ovrthro
UC-yYAksFLwj5lvK6JrywS5A,http://www.youtube.com/channel/UC-yYAksFLwj5lvK6JrywS5A,How-FixIT
UC0-MDaMDe7luPK1ryp7MLRQ,http://www.youtube.com/channel/UC0-MDaMDe7luPK1ryp7MLRQ,Logan's Candies
UC0-swBG9Ne0Vh4OuoJ2bjbA,http://www.youtube.com/channel/UC0-swBG9Ne0Vh4OuoJ2bjbA,rSlash
UC01Yz1QF7xeQJYUEjatJFcA,http://www.youtube.com/channel/UC01Yz1QF7xeQJYUEjatJFcA,Train with Taku
UC01vB-zbFYA_toVx_pf98EA,http://www.youtube.com/channel/UC01vB-zbFYA_toVx_pf98EA,MetFilm Distribution
UC02-e6K7o5_bPw0weXh3W3g,http://www.youtube.com/channel/UC02-e6K7o5_bPw0weXh3W3g,Higgsino physics
UC06E4Y_-ybJgBUMtXx8uNNw,http://www.youtube.com/channel/UC06E4Y_-ybJgBUMtXx8uNNw,TheBackyardScientist
UC06HVrkOL33D5lLnCPjr6NQ,http://www.youtube.com/channel/UC06HVrkOL33D5lLnCPjr6NQ,Breaking Taps
UC06b5TQFFMFZvMakw1QLpQg,http://www.youtube.com/channel/UC06b5TQFFMFZvMakw1QLpQg,Clark Elieson
UC06hDL3xAoW5PAWFbRsA3XQ,http://www.youtube.com/channel/UC06hDL3xAoW5PAWFbRsA3XQ,Jake Ceja
UC084FSD0cO4ZOS5SonULRCQ,http://www.youtube.com/channel/UC084FSD0cO4ZOS5SonULRCQ,Parks and Recreation
UC09qASY4ixFS-KXIH6Nw0rg,http://www.youtube.com/channel/UC09qASY4ixFS-KXIH6Nw0rg,Gerald Undone
UC0A0TIq-WDyKZcGcOt5WpPA,http://www.youtube.com/channel/UC0A0TIq-WDyKZcGcOt5WpPA,Brothers Make
UC0ArlFuFYMpEewyRBzdLHiw,http://www.youtube.com/channel/UC0ArlFuFYMpEewyRBzdLHiw,The Cyber Mentor
UC0BS2lLese-pldAtdOUgsfg,http://www.youtube.com/channel/UC0BS2lLese-pldAtdOUgsfg,Imamu room
UC0BzcKJTQ5kJ38O1RoQDRew,http://www.youtube.com/channel/UC0BzcKJTQ5kJ38O1RoQDRew,The AM Tech
UC0E47zT1TyW3DLgEycdWmRg,http://www.youtube.com/channel/UC0E47zT1TyW3DLgEycdWmRg,ItsLifeofAnnie
UC0E7B92To-iaPgiXEf-LE7A,http://www.youtube.com/channel/UC0E7B92To-iaPgiXEf-LE7A,Non Stop Cara FM
UC0FLmV_czwt4DQ0nNF9UTPg,http://www.youtube.com/channel/UC0FLmV_czwt4DQ0nNF9UTPg,Electric Dhamaka 
UC0G7e3uCtTyKQy2vZbRaKxg,http://www.youtube.com/channel/UC0G7e3uCtTyKQy2vZbRaKxg,Works By Design
UC0GLNhtTu7yI8rl6ZZGeezw,http://www.youtube.com/channel/UC0GLNhtTu7yI8rl6ZZGeezw,TheOdd2sOut
UC0GmdVKZhMM3Rmielp4oVAA,http://www.youtube.com/channel/UC0GmdVKZhMM3Rmielp4oVAA,Stefanovic
UC0HAg66Em50PZyVGQ0LTDOg,http://www.youtube.com/channel/UC0HAg66Em50PZyVGQ0LTDOg,I SIMPLY BUILT IT
UC0IWRLai-BAwci_e9MylNGw,http://www.youtube.com/channel/UC0IWRLai-BAwci_e9MylNGw,CarryisLive
UC0Ize0RLIbGdH5x4wI45G-A,http://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A,Drew Binsky
UC0KXsQALUBnx7LiM996VbOw,http://www.youtube.com/channel/UC0KXsQALUBnx7LiM996VbOw,Zack Chug
UC0KfjyvabuE2J-RBC6ko2Lw,http://www.youtube.com/channel/UC0KfjyvabuE2J-RBC6ko2Lw,Mac Address
UC0NEmICd4mmTJIEifZ4uzyg,http://www.youtube.com/channel/UC0NEmICd4mmTJIEifZ4uzyg,CLAW_Global
